Year,Month,Day,Hour,DNI
2016,1,11,13,936
2016,1,11,14,900
2016,1,11,15,812
2016,1,11,16,596
2016,1,11,17,0
2016,1,11,18,0
2016,1,11,19,0
2016,1,11,20,0
2016,1,11,21,0
2016,1,11,22,0
2016,1,11,23,0
2016,1,12,0,0
2016,1,12,1,0
2016,1,12,2,0
2016,1,12,3,0
2016,1,12,4,0
2016,1,12,5,0
2016,1,12,6,0
2016,1,12,7,0
2016,1,12,8,106
2016,1,12,9,179
2016,1,12,10,208
2016,1,12,11,369
2016,1,12,12,114
2016,1,12,13,299
2016,1,12,14,317
2016,1,12,15,773
2016,1,12,16,560
2016,1,12,17,0
2016,1,12,18,0
2016,1,12,19,0
2016,1,12,20,0
2016,1,12,21,0
2016,1,12,22,0
2016,1,12,23,0
2016,1,13,0,0
2016,1,13,1,0
2016,1,13,2,0
2016,1,13,3,0
2016,1,13,4,0
2016,1,13,5,0
2016,1,13,6,0
2016,1,13,7,0
2016,1,13,8,92
2016,1,13,9,149
2016,1,13,10,150
2016,1,13,11,487
2016,1,13,12,208
2016,1,13,13,231
2016,1,13,14,9
2016,1,13,15,0
2016,1,13,16,0
2016,1,13,17,0
2016,1,13,18,0
2016,1,13,19,0
2016,1,13,20,0
2016,1,13,21,0
2016,1,13,22,0
2016,1,13,23,0
2016,1,14,0,0
2016,1,14,1,0
2016,1,14,2,0
2016,1,14,3,0
2016,1,14,4,0
2016,1,14,5,0
2016,1,14,6,0
2016,1,14,7,0
2016,1,14,8,140
2016,1,14,9,226
2016,1,14,10,252
2016,1,14,11,399
2016,1,14,12,690
2016,1,14,13,275
2016,1,14,14,595
2016,1,14,15,548
2016,1,14,16,614
2016,1,14,17,0
2016,1,14,18,0
2016,1,14,19,0
2016,1,14,20,0
2016,1,14,21,0
2016,1,14,22,0
2016,1,14,23,0
2016,1,15,0,0
2016,1,15,1,0
2016,1,15,2,0
2016,1,15,3,0
2016,1,15,4,0
2016,1,15,5,0
2016,1,15,6,0
2016,1,15,7,0
2016,1,15,8,0
2016,1,15,9,0
2016,1,15,10,0
2016,1,15,11,14
2016,1,15,12,0
2016,1,15,13,0
2016,1,15,14,7
2016,1,15,15,0
2016,1,15,16,0
2016,1,15,17,0
2016,1,15,18,0
2016,1,15,19,0
2016,1,15,20,0
2016,1,15,21,0
2016,1,15,22,0
2016,1,15,23,0
2016,1,16,0,0
2016,1,16,1,0
2016,1,16,2,0
2016,1,16,3,0
2016,1,16,4,0
2016,1,16,5,0
2016,1,16,6,0
2016,1,16,7,0
2016,1,16,8,25
2016,1,16,9,62
2016,1,16,10,77
2016,1,16,11,414
2016,1,16,12,46
2016,1,16,13,78
2016,1,16,14,1
2016,1,16,15,0
2016,1,16,16,0
2016,1,16,17,0
2016,1,16,18,0
2016,1,16,19,0
2016,1,16,20,0
2016,1,16,21,0
2016,1,16,22,0
2016,1,16,23,0
2016,1,17,0,0
2016,1,17,1,0
2016,1,17,2,0
2016,1,17,3,0
2016,1,17,4,0
2016,1,17,5,0
2016,1,17,6,0
2016,1,17,7,0
2016,1,17,8,332
2016,1,17,9,560
2016,1,17,10,693
2016,1,17,11,663
2016,1,17,12,612
2016,1,17,13,731
2016,1,17,14,867
2016,1,17,15,766
2016,1,17,16,552
2016,1,17,17,0
2016,1,17,18,0
2016,1,17,19,0
2016,1,17,20,0
2016,1,17,21,0
2016,1,17,22,0
2016,1,17,23,0
2016,1,18,0,0
2016,1,18,1,0
2016,1,18,2,0
2016,1,18,3,0
2016,1,18,4,0
2016,1,18,5,0
2016,1,18,6,0
2016,1,18,7,0
2016,1,18,8,0
2016,1,18,9,0
2016,1,18,10,0
2016,1,18,11,0
2016,1,18,12,0
2016,1,18,13,0
2016,1,18,14,0
2016,1,18,15,0
2016,1,18,16,0
2016,1,18,17,0
2016,1,18,18,0
2016,1,18,19,0
2016,1,18,20,0
2016,1,18,21,0
2016,1,18,22,0
2016,1,18,23,0
2016,1,19,0,0
2016,1,19,1,0
2016,1,19,2,0
2016,1,19,3,0
2016,1,19,4,0
2016,1,19,5,0
2016,1,19,6,0
2016,1,19,7,0
2016,1,19,8,310
2016,1,19,9,517
2016,1,19,10,580
2016,1,19,11,325
2016,1,19,12,268
2016,1,19,13,433
2016,1,19,14,205
2016,1,19,15,129
2016,1,19,16,85
2016,1,19,17,0
2016,1,19,18,0
2016,1,19,19,0
2016,1,19,20,0
2016,1,19,21,0
2016,1,19,22,0
2016,1,19,23,0
2016,1,20,0,0
2016,1,20,1,0
2016,1,20,2,0
2016,1,20,3,0
2016,1,20,4,0
2016,1,20,5,0
2016,1,20,6,0
2016,1,20,7,0
2016,1,20,8,514
2016,1,20,9,787
2016,1,20,10,878
2016,1,20,11,458
2016,1,20,12,126
2016,1,20,13,8
2016,1,20,14,533
2016,1,20,15,503
2016,1,20,16,376
2016,1,20,17,0
2016,1,20,18,0
2016,1,20,19,0
2016,1,20,20,0
2016,1,20,21,0
2016,1,20,22,0
2016,1,20,23,0
2016,1,21,0,0
2016,1,21,1,0
2016,1,21,2,0
2016,1,21,3,0
2016,1,21,4,0
2016,1,21,5,0
2016,1,21,6,0
2016,1,21,7,0
2016,1,21,8,378
2016,1,21,9,607
2016,1,21,10,716
2016,1,21,11,752
2016,1,21,12,703
2016,1,21,13,919
2016,1,21,14,600
2016,1,21,15,490
2016,1,21,16,358
2016,1,21,17,0
2016,1,21,18,0
2016,1,21,19,0
2016,1,21,20,0
2016,1,21,21,0
2016,1,21,22,0
2016,1,21,23,0
2016,1,22,0,0
2016,1,22,1,0
2016,1,22,2,0
2016,1,22,3,0
2016,1,22,4,0
2016,1,22,5,0
2016,1,22,6,0
2016,1,22,7,0
2016,1,22,8,124
2016,1,22,9,193
2016,1,22,10,220
2016,1,22,11,242
2016,1,22,12,526
2016,1,22,13,408
2016,1,22,14,321
2016,1,22,15,111
2016,1,22,16,69
2016,1,22,17,0
2016,1,22,18,0
2016,1,22,19,0
2016,1,22,20,0
2016,1,22,21,0
2016,1,22,22,0
2016,1,22,23,0
2016,1,23,0,0
2016,1,23,1,0
2016,1,23,2,0
2016,1,23,3,0
2016,1,23,4,0
2016,1,23,5,0
2016,1,23,6,0
2016,1,23,7,0
2016,1,23,8,0
2016,1,23,9,28
2016,1,23,10,41
2016,1,23,11,18
2016,1,23,12,0
