Year,Month,Day,Hour,Minute,GHI,Temperature
2014,1,8,7,30,0,-3
2014,1,8,8,30,24,-2
2014,1,8,9,30,91,-1
2014,1,8,10,30,238,0
2014,1,8,11,30,86,0
2014,1,8,12,30,168,0
2014,1,8,13,30,22,0
2014,1,8,14,30,119,0
2014,1,8,15,30,159,0
2014,1,8,16,30,91,0
2014,1,8,17,30,0,-1
2014,1,8,18,30,0,-2
2014,1,8,19,30,0,-3
2014,1,8,20,30,0,-3
2014,1,8,21,30,0,-4
2014,1,8,22,30,0,-4
2014,1,8,23,30,0,-5
2014,1,9,0,30,0,-5
2014,1,9,1,30,0,-5
2014,1,9,2,30,0,-4
2014,1,9,3,30,0,-4
2014,1,9,4,30,0,-4
2014,1,9,5,30,0,-4
2014,1,9,6,30,0,-3
2014,1,9,7,30,0,-2
2014,1,9,8,30,3,-1
2014,1,9,9,30,59,0
2014,1,9,10,30,66,0
2014,1,9,11,30,130,0
2014,1,9,12,30,283,0
2014,1,9,13,30,19,0
2014,1,9,14,30,72,0
2014,1,9,15,30,38,-1
2014,1,9,16,30,23,-3
2014,1,9,17,30,0,-6
2014,1,9,18,30,0,-7
2014,1,9,19,30,0,-7
2014,1,9,20,30,0,-7
2014,1,9,21,30,0,-6
2014,1,9,22,30,0,-6
2014,1,9,23,30,0,-6
2014,1,10,0,30,0,-6
2014,1,10,1,30,0,-6
2014,1,10,2,30,0,-7
2014,1,10,3,30,0,-6
2014,1,10,4,30,0,-5
2014,1,10,5,30,0,-5
2014,1,10,6,30,0,-4
2014,1,10,7,30,0,-3
2014,1,10,8,30,19,-2
2014,1,10,9,30,50,0
2014,1,10,10,30,206,0
2014,1,10,11,30,213,1
2014,1,10,12,30,206,1
2014,1,10,13,30,155,1
2014,1,10,14,30,265,1
2014,1,10,15,30,52,0
2014,1,10,16,30,34,0
2014,1,10,17,30,0,-1
2014,1,10,18,30,0,-1
2014,1,10,19,30,0,-2
2014,1,10,20,30,0,-2
2014,1,10,21,30,0,-2
2014,1,10,22,30,0,-1
2014,1,10,23,30,0,0
2014,1,11,0,30,0,0
2014,1,11,1,30,0,-1
2014,1,11,2,30,0,-2
2014,1,11,3,30,0,-3
2014,1,11,4,30,0,-3
2014,1,11,5,30,0,-3
2014,1,11,6,30,0,-4
2014,1,11,7,30,0,-4
2014,1,11,8,30,29,-2
2014,1,11,9,30,65,0
2014,1,11,10,30,227,1
2014,1,11,11,30,374,2
2014,1,11,12,30,271,3
2014,1,11,13,30,277,3
2014,1,11,14,30,111,2
2014,1,11,15,30,33,2
2014,1,11,16,30,25,2
2014,1,11,17,30,0,2
2014,1,11,18,30,0,1
2014,1,11,19,30,0,1
2014,1,11,20,30,0,1
2014,1,11,21,30,0,0
2014,1,11,22,30,0,0
2014,1,11,23,30,0,0
2014,1,12,0,30,0,0
2014,1,12,1,30,0,-1
2014,1,12,2,30,0,-1
2014,1,12,3,30,0,-2
2014,1,12,4,30,0,-2
2014,1,12,5,30,0,-3
2014,1,12,6,30,0,-4
2014,1,12,7,30,0,-4
2014,1,12,8,30,53,-3
2014,1,12,9,30,166,-1
2014,1,12,10,30,168,-1
2014,1,12,11,30,314,-1
2014,1,12,12,30,286,-1
2014,1,12,13,30,294,-1
2014,1,12,14,30,234,-1
2014,1,12,15,30,185,-1
2014,1,12,16,30,56,-3
2014,1,12,17,30,0,-4
2014,1,12,18,30,0,-5
2014,1,12,19,30,0,-5
2014,1,12,20,30,0,-5
2014,1,12,21,30,0,-5
2014,1,12,22,30,0,-5
2014,1,12,23,30,0,-6
2014,1,13,0,30,0,-6
2014,1,13,1,30,0,-6
2014,1,13,2,30,0,-6
2014,1,13,3,30,0,-6
2014,1,13,4,30,0,-6
2014,1,13,5,30,0,-6
2014,1,13,6,30,0,-6
2014,1,13,7,30,0,-5
2014,1,13,8,30,74,-3
2014,1,13,9,30,66,-1
2014,1,13,10,30,167,0
2014,1,13,11,30,181,0
2014,1,13,12,30,167,1
2014,1,13,13,30,178,1
2014,1,13,14,30,281,1
2014,1,13,15,30,265,0
2014,1,13,16,30,105,0
2014,1,13,17,30,0,-1
2014,1,13,18,30,0,-2
2014,1,13,19,30,0,-3
2014,1,13,20,30,0,-4
2014,1,13,21,30,0,-4
2014,1,13,22,30,0,-4
2014,1,13,23,30,0,-5
2014,1,14,0,30,0,-5
2014,1,14,1,30,0,-5
2014,1,14,2,30,0,-5
2014,1,14,3,30,0,-5
2014,1,14,4,30,0,-5
2014,1,14,5,30,0,-4
2014,1,14,6,30,0,-4
2014,1,14,7,30,0,-4
2014,1,14,8,30,77,-3
2014,1,14,9,30,162,-1
2014,1,14,10,30,381,0
2014,1,14,11,30,382,0
2014,1,14,12,30,425,1
2014,1,14,13,30,488,1
2014,1,14,14,30,402,1
2014,1,14,15,30,270,0
2014,1,14,16,30,110,0
2014,1,14,17,30,0,-1
2014,1,14,18,30,0,-1
2014,1,14,19,30,0,-1
2014,1,14,20,30,0,-2
2014,1,14,21,30,0,-3
2014,1,14,22,30,0,-3
2014,1,14,23,30,0,-3
2014,1,15,0,30,0,-4
2014,1,15,1,30,0,-4
2014,1,15,2,30,0,-4
2014,1,15,3,30,0,-4
2014,1,15,4,30,0,-4
2014,1,15,5,30,0,-4
2014,1,15,6,30,0,-4
2014,1,15,7,30,0,-3
2014,1,15,8,30,79,-2
2014,1,15,9,30,246,-1
2014,1,15,10,30,392,0
2014,1,15,11,30,490,2
2014,1,15,12,30,529,3
2014,1,15,13,30,505,3
2014,1,15,14,30,422,3
2014,1,15,15,30,287,2
2014,1,15,16,30,120,1
2014,1,15,17,30,0,0
2014,1,15,18,30,0,0
2014,1,15,19,30,0,0
2014,1,15,20,30,0,0
2014,1,15,21,30,0,-1
2014,1,15,22,30,0,-1
2014,1,15,23,30,0,-1
2014,1,16,0,30,0,-2
2014,1,16,1,30,0,-2
2014,1,16,2,30,0,-2
2014,1,16,3,30,0,-2
2014,1,16,4,30,0,-3
2014,1,16,5,30,0,-3
2014,1,16,6,30,0,-3
2014,1,16,7,30,0,-3
2014,1,16,8,30,83,-2
2014,1,16,9,30,252,0
2014,1,16,10,30,396,1
2014,1,16,11,30,407,2
2014,1,16,12,30,528,3
2014,1,16,13,30,503,3
2014,1,16,14,30,418,3
2014,1,16,15,30,284,2
2014,1,16,16,30,119,0
2014,1,16,17,30,0,0
2014,1,16,18,30,0,0
2014,1,16,19,30,0,0
2014,1,16,20,30,0,-1
2014,1,16,21,30,0,-2
2014,1,16,22,30,0,-2
2014,1,16,23,30,0,-3
2014,1,17,0,30,0,-3
2014,1,17,1,30,0,-3
2014,1,17,2,30,0,-4
2014,1,17,3,30,0,-4
2014,1,17,4,30,0,-4
2014,1,17,5,30,0,-4
2014,1,17,6,30,0,-4
2014,1,17,7,30,0,-4
2014,1,17,8,30,82,-2
2014,1,17,9,30,250,0
2014,1,17,10,30,396,1
2014,1,17,11,30,495,3
2014,1,17,12,30,535,4
2014,1,17,13,30,513,4
2014,1,17,14,30,430,4
2014,1,17,15,30,295,3
2014,1,17,16,30,128,1
2014,1,17,17,30,0,0
2014,1,17,18,30,0,0
2014,1,17,19,30,0,0
2014,1,17,20,30,0,0
2014,1,17,21,30,0,0
2014,1,17,22,30,0,0
2014,1,17,23,30,0,0
2014,1,18,0,30,0,-1
2014,1,18,1,30,0,-2
2014,1,18,2,30,0,-2
2014,1,18,3,30,0,-2
2014,1,18,4,30,0,-2
2014,1,18,5,30,0,-3
2014,1,18,6,30,0,-3
2014,1,18,7,30,0,-2
2014,1,18,8,30,84,-1
2014,1,18,9,30,252,0
2014,1,18,10,30,397,2
2014,1,18,11,30,494,4
2014,1,18,12,30,534,5
2014,1,18,13,30,512,5
2014,1,18,14,30,428,4
2014,1,18,15,30,294,3
2014,1,18,16,30,128,1
2014,1,18,17,30,0,0
2014,1,18,18,30,0,0
2014,1,18,19,30,0,0
2014,1,18,20,30,0,0
2014,1,18,21,30,0,0
2014,1,18,22,30,0,0
2014,1,18,23,30,0,0
2014,1,19,0,30,0,0
2014,1,19,1,30,0,0
2014,1,19,2,30,0,0
2014,1,19,3,30,0,-1
2014,1,19,4,30,0,-1
2014,1,19,5,30,0,-1
2014,1,19,6,30,0,-2
2014,1,19,7,30,0,-3
2014,1,19,8,30,86,-1
2014,1,19,9,30,257,1
2014,1,19,10,30,405,3
2014,1,19,11,30,504,4
2014,1,19,12,30,545,5
2014,1,19,13,30,523,6
2014,1,19,14,30,440,5
2014,1,19,15,30,304,4
2014,1,19,16,30,135,2
2014,1,19,17,30,0,1
2014,1,19,18,30,0,0
2014,1,19,19,30,0,0
2014,1,19,20,30,0,0
2014,1,19,21,30,0,0
2014,1,19,22,30,0,0
