Year,Month,Day,Hour,Minute,GHI,Temperature
2013,1,8,5,30,0,-7
2013,1,8,6,30,0,-6
2013,1,8,7,30,0,-6
2013,1,8,8,30,34,-5
2013,1,8,9,30,80,-4
2013,1,8,10,30,155,-2
2013,1,8,11,30,107,0
2013,1,8,12,30,184,0
2013,1,8,13,30,96,0
2013,1,8,14,30,218,0
2013,1,8,15,30,59,0
2013,1,8,16,30,93,0
2013,1,8,17,30,0,-1
2013,1,8,18,30,0,-2
2013,1,8,19,30,0,-3
2013,1,8,20,30,0,-4
2013,1,8,21,30,0,-5
2013,1,8,22,30,0,-5
2013,1,8,23,30,0,-6
2013,1,9,0,30,0,-7
2013,1,9,1,30,0,-8
2013,1,9,2,30,0,-8
2013,1,9,3,30,0,-9
2013,1,9,4,30,0,-9
2013,1,9,5,30,0,-9
2013,1,9,6,30,0,-9
2013,1,9,7,30,0,-9
2013,1,9,8,30,75,-7
2013,1,9,9,30,238,-4
2013,1,9,10,30,378,-1
2013,1,9,11,30,470,0
2013,1,9,12,30,505,0
2013,1,9,13,30,481,0
2013,1,9,14,30,397,1
2013,1,9,15,30,129,1
2013,1,9,16,30,50,0
2013,1,9,17,30,0,0
2013,1,9,18,30,0,0
2013,1,9,19,30,0,-1
2013,1,9,20,30,0,-1
2013,1,9,21,30,0,-1
2013,1,9,22,30,0,-1
2013,1,9,23,30,0,-1
2013,1,10,0,30,0,0
2013,1,10,1,30,0,0
2013,1,10,2,30,0,0
2013,1,10,3,30,0,0
2013,1,10,4,30,0,0
2013,1,10,5,30,0,1
2013,1,10,6,30,0,1
2013,1,10,7,30,0,1
2013,1,10,8,30,65,1
2013,1,10,9,30,218,1
2013,1,10,10,30,353,1
2013,1,10,11,30,385,0
2013,1,10,12,30,422,0
2013,1,10,13,30,136,0
2013,1,10,14,30,50,-1
2013,1,10,15,30,50,-3
2013,1,10,16,30,45,-4
2013,1,10,17,30,0,-5
2013,1,10,18,30,0,-6
2013,1,10,19,30,0,-7
2013,1,10,20,30,0,-7
2013,1,10,21,30,0,-8
2013,1,10,22,30,0,-8
2013,1,10,23,30,0,-9
2013,1,11,0,30,0,-10
2013,1,11,1,30,0,-10
2013,1,11,2,30,0,-10
2013,1,11,3,30,0,-11
2013,1,11,4,30,0,-11
2013,1,11,5,30,0,-12
2013,1,11,6,30,0,-12
2013,1,11,7,30,0,-12
2013,1,11,8,30,10,-11
2013,1,11,9,30,23,-9
2013,1,11,10,30,63,-8
2013,1,11,11,30,86,-8
2013,1,11,12,30,88,-8
2013,1,11,13,30,25,-8
2013,1,11,14,30,169,-8
2013,1,11,15,30,142,-8
2013,1,11,16,30,44,-9
2013,1,11,17,30,0,-10
2013,1,11,18,30,0,-10
2013,1,11,19,30,0,-11
2013,1,11,20,30,0,-12
2013,1,11,21,30,0,-13
2013,1,11,22,30,0,-13
2013,1,11,23,30,0,-14
2013,1,12,0,30,0,-14
2013,1,12,1,30,0,-14
2013,1,12,2,30,0,-14
2013,1,12,3,30,0,-14
2013,1,12,4,30,0,-15
2013,1,12,5,30,0,-15
2013,1,12,6,30,0,-15
2013,1,12,7,30,0,-15
2013,1,12,8,30,24,-14
2013,1,12,9,30,23,-13
2013,1,12,10,30,77,-12
2013,1,12,11,30,268,-11
2013,1,12,12,30,290,-11
2013,1,12,13,30,495,-11
2013,1,12,14,30,144,-12
2013,1,12,15,30,276,-12
2013,1,12,16,30,111,-14
2013,1,12,17,30,0,-15
2013,1,12,18,30,0,-16
2013,1,12,19,30,0,-16
2013,1,12,20,30,0,-17
2013,1,12,21,30,0,-18
2013,1,12,22,30,0,-18
2013,1,12,23,30,0,-18
2013,1,13,0,30,0,-18
2013,1,13,1,30,0,-18
2013,1,13,2,30,0,-18
2013,1,13,3,30,0,-18
2013,1,13,4,30,0,-18
2013,1,13,5,30,0,-19
2013,1,13,6,30,0,-19
2013,1,13,7,30,0,-20
2013,1,13,8,30,78,-19
2013,1,13,9,30,245,-17
2013,1,13,10,30,392,-15
2013,1,13,11,30,490,-13
2013,1,13,12,30,529,-13
2013,1,13,13,30,504,-13
2013,1,13,14,30,418,-13
2013,1,13,15,30,280,-13
2013,1,13,16,30,114,-15
2013,1,13,17,30,0,-16
2013,1,13,18,30,0,-17
2013,1,13,19,30,0,-18
2013,1,13,20,30,0,-18
2013,1,13,21,30,0,-19
2013,1,13,22,30,0,-19
2013,1,13,23,30,0,-19
2013,1,14,0,30,0,-19
2013,1,14,1,30,0,-20
2013,1,14,2,30,0,-20
2013,1,14,3,30,0,-21
2013,1,14,4,30,0,-21
2013,1,14,5,30,0,-21
2013,1,14,6,30,0,-21
2013,1,14,7,30,0,-20
2013,1,14,8,30,80,-19
2013,1,14,9,30,127,-18
2013,1,14,10,30,397,-16
2013,1,14,11,30,496,-14
2013,1,14,12,30,534,-13
2013,1,14,13,30,271,-13
2013,1,14,14,30,422,-13
2013,1,14,15,30,285,-13
2013,1,14,16,30,45,-15
2013,1,14,17,30,0,-16
2013,1,14,18,30,0,-18
2013,1,14,19,30,0,-19
2013,1,14,20,30,0,-19
2013,1,14,21,30,0,-19
2013,1,14,22,30,0,-19
2013,1,14,23,30,0,-19
2013,1,15,0,30,0,-19
2013,1,15,1,30,0,-18
2013,1,15,2,30,0,-18
2013,1,15,3,30,0,-18
2013,1,15,4,30,0,-17
2013,1,15,5,30,0,-17
2013,1,15,6,30,0,-18
2013,1,15,7,30,0,-18
2013,1,15,8,30,14,-17
2013,1,15,9,30,57,-15
2013,1,15,10,30,118,-12
2013,1,15,11,30,330,-10
2013,1,15,12,30,258,-10
2013,1,15,13,30,227,-9
2013,1,15,14,30,143,-9
2013,1,15,15,30,103,-9
2013,1,15,16,30,57,-10
2013,1,15,17,30,0,-11
2013,1,15,18,30,0,-12
2013,1,15,19,30,0,-13
2013,1,15,20,30,0,-14
2013,1,15,21,30,0,-14
2013,1,15,22,30,0,-14
2013,1,15,23,30,0,-14
2013,1,16,0,30,0,-14
2013,1,16,1,30,0,-13
2013,1,16,2,30,0,-13
2013,1,16,3,30,0,-13
2013,1,16,4,30,0,-12
2013,1,16,5,30,0,-12
2013,1,16,6,30,0,-12
2013,1,16,7,30,0,-13
2013,1,16,8,30,81,-12
2013,1,16,9,30,75,-10
2013,1,16,10,30,185,-8
2013,1,16,11,30,247,-6
2013,1,16,12,30,378,-5
2013,1,16,13,30,513,-5
2013,1,16,14,30,218,-5
2013,1,16,15,30,294,-5
2013,1,16,16,30,126,-6
2013,1,16,17,30,0,-7
2013,1,16,18,30,0,-8
2013,1,16,19,30,0,-9
2013,1,16,20,30,0,-10
2013,1,16,21,30,0,-10
2013,1,16,22,30,0,-11
2013,1,16,23,30,0,-11
2013,1,17,0,30,0,-11
2013,1,17,1,30,0,-12
2013,1,17,2,30,0,-13
2013,1,17,3,30,0,-13
2013,1,17,4,30,0,-14
2013,1,17,5,30,0,-14
2013,1,17,6,30,0,-14
2013,1,17,7,30,0,-13
2013,1,17,8,30,84,-12
2013,1,17,9,30,255,-10
2013,1,17,10,30,403,-8
2013,1,17,11,30,502,-6
2013,1,17,12,30,541,-5
2013,1,17,13,30,517,-5
2013,1,17,14,30,433,-5
2013,1,17,15,30,297,-5
2013,1,17,16,30,129,-6
2013,1,17,17,30,0,-8
2013,1,17,18,30,0,-9
2013,1,17,19,30,0,-10
2013,1,17,20,30,0,-11
2013,1,17,21,30,0,-11
2013,1,17,22,30,0,-12
2013,1,17,23,30,0,-12
2013,1,18,0,30,0,-12
2013,1,18,1,30,0,-12
2013,1,18,2,30,0,-12
2013,1,18,3,30,0,-12
2013,1,18,4,30,0,-12
2013,1,18,5,30,0,-12
2013,1,18,6,30,0,-13
2013,1,18,7,30,0,-13
2013,1,18,8,30,85,-12
2013,1,18,9,30,255,-10
2013,1,18,10,30,403,-8
2013,1,18,11,30,503,-7
2013,1,18,12,30,542,-7
2013,1,18,13,30,518,-6
2013,1,18,14,30,434,-6
2013,1,18,15,30,299,-6
2013,1,18,16,30,132,-7
2013,1,18,17,30,0,-8
2013,1,18,18,30,0,-9
2013,1,18,19,30,0,-10
2013,1,18,20,30,0,-10
2013,1,18,21,30,0,-11
2013,1,18,22,30,0,-11
2013,1,18,23,30,0,-11
2013,1,19,0,30,0,-11
2013,1,19,1,30,0,-12
2013,1,19,2,30,0,-12
2013,1,19,3,30,0,-12
2013,1,19,4,30,0,-12
2013,1,19,5,30,0,-13
2013,1,19,6,30,0,-13
2013,1,19,7,30,0,-13
2013,1,19,8,30,88,-12
2013,1,19,9,30,261,-10
2013,1,19,10,30,411,-8
2013,1,19,11,30,511,-6
2013,1,19,12,30,551,-5
2013,1,19,13,30,528,-5
2013,1,19,14,30,443,-5
2013,1,19,15,30,307,-5
2013,1,19,16,30,138,-6
2013,1,19,17,30,0,-8
2013,1,19,18,30,0,-9
2013,1,19,19,30,0,-9
2013,1,19,20,30,0,-10
2013,1,19,21,30,0,-10
2013,1,19,22,30,0,-10
2013,1,19,23,30,0,-10
2013,1,20,0,30,0,-11
2013,1,20,1,30,0,-11
2013,1,20,2,30,0,-10
2013,1,20,3,30,0,-10
2013,1,20,4,30,0,-10
2013,1,20,5,30,0,-10
2013,1,20,6,30,0,-11
2013,1,20,7,30,0,-11
2013,1,20,8,30,93,-10
2013,1,20,9,30,267,-9
2013,1,20,10,30,414,-8
2013,1,20,11,30,513,-6
2013,1,20,12,30,552,-5
2013,1,20,13,30,529,-5
2013,1,20,14,30,444,-5
2013,1,20,15,30,309,-5
2013,1,20,16,30,141,-6
2013,1,20,17,30,0,-7
2013,1,20,18,30,0,-8
2013,1,20,19,30,0,-9
2013,1,20,20,30,0,-10
2013,1,20,21,30,0,-10
2013,1,20,22,30,0,-10
2013,1,20,23,30,0,-10
2013,1,21,0,30,0,-10
2013,1,21,1,30,0,-11
2013,1,21,2,30,0,-11
2013,1,21,3,30,0,-11
2013,1,21,4,30,0,-11
2013,1,21,5,30,0,-11
2013,1,21,6,30,0,-11
2013,1,21,7,30,0,-11
2013,1,21,8,30,92,-10
2013,1,21,9,30,263,-8
2013,1,21,10,30,411,-6
2013,1,21,11,30,511,-4
2013,1,21,12,30,553,-3
2013,1,21,13,30,532,-3
2013,1,21,14,30,450,-3
2013,1,21,15,30,316,-3
2013,1,21,16,30,147,-5
2013,1,21,17,30,0,-6
2013,1,21,18,30,0,-7
2013,1,21,19,30,0,-8
2013,1,21,20,30,0,-9
2013,1,21,21,30,0,-9
2013,1,21,22,30,0,-8
2013,1,21,23,30,0,-8
2013,1,22,0,30,0,-8
2013,1,22,1,30,0,-8
2013,1,22,2,30,0,-8
2013,1,22,3,30,0,-8
2013,1,22,4,30,0,-9
2013,1,22,5,30,0,-10
2013,1,22,6,30,0,-11
2013,1,22,7,30,0,-11
2013,1,22,8,30,101,-10
2013,1,22,9,30,279,-7
2013,1,22,10,30,431,-3
2013,1,22,11,30,534,-1
2013,1,22,12,30,576,0
2013,1,22,13,30,554,0
2013,1,22,14,30,469,0
2013,1,22,15,30,331,0
2013,1,22,16,30,86,-1
2013,1,22,17,30,0,-4
2013,1,22,18,30,0,-5
2013,1,22,19,30,0,-6
2013,1,22,20,30,0,-6
2013,1,22,21,30,0,-6
2013,1,22,22,30,0,-7
2013,1,22,23,30,0,-8
2013,1,23,0,30,0,-9
2013,1,23,1,30,0,-9
